Dataset,Config ID,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE
DJI.xlsx,87,48,1,50,1,0.01,0.5,359.5963451149806,273.9299887481666,0.008227894497772963
HSI.xlsx,194,48,1,100,3,0.1,1.0,370.64918846536347,278.55497816338567,0.012641584788936974
KOSPI.xlsx,44,48,1,20,5,0.001,1.0,29.63828917989156,23.542547536023065,0.008583423332357249
LSE.xlsx,367,96,1,20,5,0.01,0.5,70.97875967206443,52.10195525102144,0.007181932444265361
NASDAQ.xlsx,48,48,1,20,5,0.01,0.7,218.83323450598044,167.54709554638384,0.013081832481147271
NIFTY50.xlsx,27,48,1,20,3,0.01,0.5,170.76011350214887,130.3376611675101,0.007775035561363758
NYSE.xlsx,14,48,1,20,1,0.1,1.0,176.38874447128296,136.12423479418337,0.008661476652592605
RUSSELL2000.xlsx,307,48,1,200,7,0.01,0.5,32.58706947318581,26.309740152084217,0.013066900151496502
SENSEX.xlsx,67,48,1,20,7,0.01,0.5,577.5311340883338,439.0654487473756,0.007828943929096636
SP500.xlsx,247,48,1,200,1,0.01,0.5,53.28156408309606,40.292428696753895,0.009707408953494569
SSE.xlsx,347,96,1,20,3,0.01,0.5,35.391508548997855,26.906399327644653,0.00811815802794444
