Config ID,Dataset,Window,K,Hidden Size,Num Layers,Ridge Alpha,Input Scaling,RMSE,MAE,MAPE,Training Time
47,DJI.xlsx,48,1,20,5,0.01,0.5,545.1254241075627,359.2226200617624,0.0142993817385189,0.1312854290008545
47,HSI.xlsx,48,1,20,5,0.01,0.5,361.6820500109984,267.5922652557095,0.0107912555870683,0.0606477260589599
47,KOSPI.xlsx,48,1,20,5,0.01,0.5,36.67448301982552,27.488486770781854,0.0128133722224403,0.0736627578735351
47,LSE.xlsx,48,1,20,5,0.01,0.5,116.17751091879497,79.93906241683584,0.0132074491219873,0.0700390338897705
47,NASDAQ.xlsx,48,1,20,5,0.01,0.5,196.5733526045804,143.5924547407325,0.0149181225370837,0.0668940544128418
47,NIFTY50.xlsx,48,1,20,5,0.01,0.5,202.35100571808044,139.33142349978186,0.0134178112635403,0.0760214328765869
47,NYSE.xlsx,48,1,20,5,0.01,0.5,245.8381475973245,163.75213780108035,0.0138875198416511,0.0702636241912841
47,RUSSELL2000.xlsx,48,1,20,5,0.01,0.5,36.02707076593813,25.91854722833129,0.0183384401151888,0.0719437599182128
47,SENSEX.xlsx,48,1,20,5,0.01,0.5,703.8698778999873,481.64567313170414,0.0136536071202824,0.0720381736755371
47,SP500.xlsx,48,1,20,5,0.01,0.5,59.99454700555642,40.93509578776409,0.0135994542618553,0.0735297203063964
47,SSE.xlsx,48,1,20,5,0.01,0.5,42.19025633823368,29.237947588232096,0.0093652665777361,0.069627046585083
67,DJI.xlsx,48,1,20,7,0.01,0.5,545.1250753789782,359.15334909999154,0.0142971038055489,0.104511022567749
67,HSI.xlsx,48,1,20,7,0.01,0.5,361.68674801653776,267.59335224639307,0.0107913055063953,0.0841517448425293
67,KOSPI.xlsx,48,1,20,7,0.01,0.5,36.66219881145543,27.47781306953982,0.0128093577474146,0.0974864959716796
67,LSE.xlsx,48,1,20,7,0.01,0.5,116.172522543381,79.94057396427382,0.0132077109780029,0.0984740257263183
67,NASDAQ.xlsx,48,1,20,7,0.01,0.5,196.6743024166271,143.90190782327355,0.0149446933193598,0.1034204959869384
67,NIFTY50.xlsx,48,1,20,7,0.01,0.5,202.42923551806487,139.5517771065486,0.013433383117719,0.106745958328247
67,NYSE.xlsx,48,1,20,7,0.01,0.5,245.83767065625048,163.74596289162275,0.0138873845485003,0.0992844104766845
67,RUSSELL2000.xlsx,48,1,20,7,0.01,0.5,36.0168649427501,25.91346409641628,0.0183361235326317,0.2216956615447998
67,SENSEX.xlsx,48,1,20,7,0.01,0.5,703.5860047403992,480.73985079361216,0.0136348883474059,0.102952241897583
67,SP500.xlsx,48,1,20,7,0.01,0.5,59.99638478802385,40.92456352507383,0.013596802104533,0.1012818813323974
67,SSE.xlsx,48,1,20,7,0.01,0.5,42.19135039094871,29.244191252593684,0.0093672263048804,0.0954623222351074
87,DJI.xlsx,48,1,50,1,0.01,0.5,545.0377438227434,359.1793457638443,0.0142975071516282,0.0179677009582519
87,HSI.xlsx,48,1,50,1,0.01,0.5,361.682021322644,267.60461858512514,0.0107917024265066,0.0162420272827148
87,KOSPI.xlsx,48,1,50,1,0.01,0.5,36.68671733237488,27.498043379482887,0.012817050580525,0.0192561149597167
87,LSE.xlsx,48,1,50,1,0.01,0.5,116.1894366602771,79.96332764240509,0.0132115340701805,0.0190639495849609
87,NASDAQ.xlsx,48,1,50,1,0.01,0.5,196.6077864503811,143.74340455432133,0.014931353562605,0.0180532932281494
87,NIFTY50.xlsx,48,1,50,1,0.01,0.5,202.3529002797523,139.35756619868735,0.0134196065302581,0.0553619861602783
87,NYSE.xlsx,48,1,50,1,0.01,0.5,245.82156535584423,163.74124218394414,0.0138865941833513,0.0322110652923584
87,RUSSELL2000.xlsx,48,1,50,1,0.01,0.5,36.01744477396541,25.914321410760014,0.0183363482047591,0.0191426277160644
87,SENSEX.xlsx,48,1,50,1,0.01,0.5,703.911292927285,481.7561320902349,0.0136554803950646,0.0206122398376464
87,SP500.xlsx,48,1,50,1,0.01,0.5,59.98793524580726,40.88989145998069,0.0135873445539751,0.0182695388793945
87,SSE.xlsx,48,1,50,1,0.01,0.5,42.19403374325398,29.24967549053269,0.0093688583546352,0.0168845653533935
127,DJI.xlsx,48,1,50,5,0.01,0.5,545.0938162075145,359.1003893535555,0.01429531398607,0.117633581161499
127,HSI.xlsx,48,1,50,5,0.01,0.5,361.6797519999133,267.59187065068824,0.0107912288879301,0.1063539981842041
127,KOSPI.xlsx,48,1,50,5,0.01,0.5,36.68214632883684,27.495301625613266,0.0128158453419765,0.1278517246246338
127,LSE.xlsx,48,1,50,5,0.01,0.5,116.17888693128816,79.94998041082584,0.0132092906376477,0.1228549480438232
127,NASDAQ.xlsx,48,1,50,5,0.01,0.5,196.7066874130451,144.0025227793385,0.0149540862175019,0.1240739822387695
127,NIFTY50.xlsx,48,1,50,5,0.01,0.5,202.38340854912107,139.42325070333254,0.0134241099479012,0.1340055465698242
127,NYSE.xlsx,48,1,50,5,0.01,0.5,245.80642236684776,163.73193354243446,0.0138860897952934,0.1179590225219726
127,RUSSELL2000.xlsx,48,1,50,5,0.01,0.5,36.02219246261255,25.916597439193986,0.0183370663519568,0.1206758022308349
127,SENSEX.xlsx,48,1,50,5,0.01,0.5,703.757876880331,481.4048318037193,0.0136485553517787,0.2942743301391601
127,SP500.xlsx,48,1,50,5,0.01,0.5,59.988507957715775,40.913351222255336,0.0135934957506232,0.12709641456604
127,SSE.xlsx,48,1,50,5,0.01,0.5,42.190800629185055,29.247707657194216,0.0093682902575253,0.11631441116333
187,DJI.xlsx,48,1,100,3,0.01,0.5,545.1258802065784,359.0589841094623,0.0142940015121451,0.1707985401153564
187,HSI.xlsx,48,1,100,3,0.01,0.5,361.67562571394967,267.59474797896826,0.0107912927362728,0.2759692668914795
187,KOSPI.xlsx,48,1,100,3,0.01,0.5,36.67987659062518,27.49322592165157,0.0128152500168057,0.1831326484680175
187,LSE.xlsx,48,1,100,3,0.01,0.5,116.1844283514188,79.9575191805838,0.0132105461048774,0.1731727123260498
187,NASDAQ.xlsx,48,1,100,3,0.01,0.5,196.6873131099009,143.99761299073455,0.0149531274286757,0.1729233264923095
187,NIFTY50.xlsx,48,1,100,3,0.01,0.5,202.3479848219606,139.3331826248463,0.0134175828007444,0.1891684532165527
187,NYSE.xlsx,48,1,100,3,0.01,0.5,245.8269766005832,163.7443077067327,0.0138871753185596,0.1884841918945312
187,RUSSELL2000.xlsx,48,1,100,3,0.01,0.5,36.0184819074016,25.913573820501448,0.018336089123829,0.180485725402832
187,SENSEX.xlsx,48,1,100,3,0.01,0.5,703.7952391082576,481.5278068274107,0.0136507702088535,0.1863527297973632
187,SP500.xlsx,48,1,100,3,0.01,0.5,59.992499315474845,40.92181941630391,0.0135957704151951,0.3238885402679443
187,SSE.xlsx,48,1,100,3,0.01,0.5,42.19258061487808,29.248938660591485,0.0093686940512608,0.1787958145141601
227,DJI.xlsx,48,1,100,7,0.01,0.5,545.1193010055424,359.11522001539504,0.0142960148901713,0.3359248638153076
227,HSI.xlsx,48,1,100,7,0.01,0.5,361.6830063224861,267.5979276550771,0.0107914632685139,0.4151947498321533
227,KOSPI.xlsx,48,1,100,7,0.01,0.5,36.67926566985837,27.492839697771444,0.0128150175098812,0.4422950744628906
227,LSE.xlsx,48,1,100,7,0.01,0.5,116.18464426355196,79.95843949875274,0.0132107073420218,0.3255460262298584
227,NASDAQ.xlsx,48,1,100,7,0.01,0.5,196.69541473001132,144.00200308026623,0.0149538282135855,0.3243441581726074
227,NIFTY50.xlsx,48,1,100,7,0.01,0.5,202.3466472394522,139.36245761659043,0.0134194803370886,0.3716657161712646
227,NYSE.xlsx,48,1,100,7,0.01,0.5,245.8360090904201,163.74430119915425,0.013887090605659,0.3312966823577881
227,RUSSELL2000.xlsx,48,1,100,7,0.01,0.5,36.01920878564598,25.91532044986483,0.0183367633086272,0.3333039283752441
227,SENSEX.xlsx,48,1,100,7,0.01,0.5,703.8331245904991,481.5582420678286,0.0136518999812318,0.3511357307434082
227,SP500.xlsx,48,1,100,7,0.01,0.5,59.98835547952446,40.9222238255496,0.0135956385602669,0.3703896999359131
227,SSE.xlsx,48,1,100,7,0.01,0.5,42.19225782951364,29.24865190305219,0.009368579352149,0.422602891921997
247,DJI.xlsx,48,1,200,1,0.01,0.5,545.1285718253494,359.05634738711177,0.0142941418870386,0.0689532756805419
247,HSI.xlsx,48,1,200,1,0.01,0.5,361.666637740403,267.5992932442132,0.0107914762500508,0.066253662109375
247,KOSPI.xlsx,48,1,200,1,0.01,0.5,36.68532351153483,27.49773602335537,0.0128170529940703,0.072228193283081
247,LSE.xlsx,48,1,200,1,0.01,0.5,116.17596985761604,79.95127573788926,0.0132094780717098,0.070270299911499
247,NASDAQ.xlsx,48,1,200,1,0.01,0.5,196.68668140374407,144.00828809594745,0.0149541198172048,0.0737733840942382
247,NIFTY50.xlsx,48,1,200,1,0.01,0.5,202.33975334234228,139.35428424894025,0.0134197483311813,0.0741596221923828
247,NYSE.xlsx,48,1,200,1,0.01,0.5,245.84830753201075,163.76528199128498,0.0138887473545135,0.0691511631011962
247,RUSSELL2000.xlsx,48,1,200,1,0.01,0.5,36.01952353915435,25.915653707313005,0.0183370795172385,0.0681846141815185
247,SENSEX.xlsx,48,1,200,1,0.01,0.5,703.8852161643995,481.5147138754264,0.0136506066172944,0.0654821395874023
247,SP500.xlsx,48,1,200,1,0.01,0.5,59.9704478834118,40.90997926248331,0.0135920096155436,0.0689661502838134
247,SSE.xlsx,48,1,200,1,0.01,0.5,42.19117612893851,29.247567701794072,0.0093682007483055,0.0670971870422363
267,DJI.xlsx,48,1,200,3,0.01,0.5,545.0616990530707,359.0692842002929,0.0142942177428258,0.4373691082000732
267,HSI.xlsx,48,1,200,3,0.01,0.5,361.6626825251094,267.59065121156004,0.0107911110098305,0.424260139465332
267,KOSPI.xlsx,48,1,200,3,0.01,0.5,36.67791370980223,27.4916071265129,0.0128147239099207,0.578932523727417
267,LSE.xlsx,48,1,200,3,0.01,0.5,116.18649570490304,79.95824373780346,0.0132106986939991,0.4359874725341797
267,NASDAQ.xlsx,48,1,200,3,0.01,0.5,196.6706270426495,143.94334394696682,0.0149483950182183,0.452258825302124
267,NIFTY50.xlsx,48,1,200,3,0.01,0.5,202.3344040967892,139.32255173322548,0.0134164520473434,0.4819974899291992
267,NYSE.xlsx,48,1,200,3,0.01,0.5,245.82417117323823,163.74260458834183,0.0138867149287595,0.4321546554565429
267,RUSSELL2000.xlsx,48,1,200,3,0.01,0.5,36.01791911995019,25.91357753907426,0.0183357378176884,0.4357917308807373
267,SENSEX.xlsx,48,1,200,3,0.01,0.5,703.823356641386,481.51706305372926,0.0136510473060472,0.4174933433532715
267,SP500.xlsx,48,1,200,3,0.01,0.5,59.991414142256325,40.9154168723857,0.0135941080877036,0.5749926567077637
267,SSE.xlsx,48,1,200,3,0.01,0.5,42.193217574309216,29.24880655880372,0.0093686355797925,0.4140882492065429
287,DJI.xlsx,48,1,200,5,0.01,0.5,545.1031118131112,359.0924627871272,0.0142951966906502,0.7775294780731201
287,HSI.xlsx,48,1,200,5,0.01,0.5,361.67121190073664,267.5911682172129,0.0107911553936772,0.9343156814575196
